date,time,open,high,low,close,prev,volume,tr_amount,sales_qu,purchase_qu,li_share,market_cap,fr_cu_holding,fr_cu_ratio,ad_pr_ratio,in_net_buy,up_do,up_do_ratio,deposit,st_turnover,tr_es_ratio,sign
20050923,0,31350,31750,30350,30600,-250,503195,15598000000,0,0,15297000,468088000000,4060909,26.549999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20050926,0,30700,31400,30500,30700,100,343322,10614000000,0,0,15297000,469617000000,4069324,26.600000381469727,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20050927,0,30700,32700,30700,32300,1600,951446,30510000000,0,0,15297000,494093000000,4059659,26.540000915527344,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20050928,0,32650,33200,31700,32050,-250,513231,16661000000,0,0,15297000,490268000000,4060333,26.540000915527344,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20050929,0,32200,32300,31300,31850,-200,269418,8550000000,0,0,15297000,487209000000,4069276,26.600000381469727,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20050930,0,32100,32550,31250,31350,-500,367772,11716000000,0,0,15297000,479560000000,4063142,26.559999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051004,0,31350,32400,31350,32200,850,433805,13875000000,0,0,15297000,492563000000,4104264,26.829999923706055,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051005,0,32200,32350,31150,31400,-800,334559,10597000000,0,0,15297000,480325000000,4091830,26.75,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051006,0,30900,31150,29750,29750,-1650,692839,20910000000,0,0,15297000,455085000000,4114886,26.899999618530273,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051007,0,29750,30250,29500,29750,0,367813,10997000000,0,0,15297000,455085000000,4149251,27.1200008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20051010,0,29800,30350,29800,30000,250,351671,10577000000,0,0,15297000,458910000000,4170984,27.270000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051011,0,29950,30500,29900,30350,350,349592,10549000000,0,0,15329000,465235000000,4171882,27.209999084472656,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051012,0,30050,30250,29150,29150,-1200,869329,25788000000,0,0,15329000,446840000000,4031373,26.299999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051013,0,29300,29850,28850,29200,50,626915,18336000000,0,0,15329000,447606000000,3912510,25.520000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051014,0,28850,29350,27900,28050,-1150,533976,15136000000,0,0,15329000,429978000000,3917526,25.559999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051017,0,27650,28300,27000,27000,-1050,535807,14722000000,0,0,15329000,413883000000,3885801,25.350000381469727,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051018,0,27000,27950,27000,27300,300,464338,12738000000,0,0,15329000,418481000000,3818821,24.90999984741211,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051019,0,26950,27050,25300,25600,-1700,519906,13643000000,0,0,15329000,392422000000,3795608,24.760000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051020,0,25950,26350,25050,25050,-550,441309,11370000000,0,0,15329000,383991000000,3774195,24.6200008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051021,0,24600,26300,24600,26150,1100,623470,16065000000,0,0,15329000,400853000000,3712877,24.219999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051024,0,26450,28500,26450,27850,1700,1014205,28007000000,0,0,15329000,426912000000,3726128,24.309999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051025,0,28450,28550,27200,27350,-500,407295,11279000000,0,0,15329000,419248000000,3751848,24.469999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051026,0,27550,28250,26700,27600,250,401832,11085000000,0,0,15329000,423080000000,3762020,24.540000915527344,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051027,0,27400,28150,27350,27450,-150,261116,7225000000,0,0,15329000,420781000000,3782020,24.670000076293945,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051028,0,26150,27150,26150,26750,-700,267929,7170000000,0,0,15329000,410050000000,3788760,24.719999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051031,0,27000,27700,27000,27000,250,242409,6617000000,0,0,15329000,413883000000,3801174,24.799999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051101,0,27400,29700,27400,29500,2500,672038,19168000000,0,0,15329000,452205000000,3810186,24.860000610351562,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051102,0,29500,32450,29100,30450,950,1380368,42329000000,0,0,15329000,466768000000,3828899,24.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051103,0,30700,31850,30200,31450,1000,1001182,30993000000,0,0,15329000,482097000000,3828739,24.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051104,0,31700,32500,31300,32000,550,973954,31282000000,0,0,15329000,490528000000,3829039,24.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051107,0,32400,32600,31400,31850,-150,386670,12381000000,0,0,15329000,488228000000,3829430,24.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051108,0,32200,35450,31800,33900,2050,1299911,44341000000,0,0,15329000,519653000000,3830128,24.989999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051109,0,33500,35000,33100,33950,50,590941,20150000000,0,0,15329000,520419000000,3829988,24.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051110,0,32300,34300,31100,31400,-2550,1549295,50234000000,0,0,15355000,482147000000,3704540,24.1200008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051111,0,32000,34500,32000,34500,3100,1869347,62073000000,0,0,15355000,529747000000,3780405,24.6200008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051114,0,36500,38300,34100,35000,500,1914689,70860000000,0,0,15355000,537425000000,3810070,24.809999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051115,0,35900,36400,34400,35300,300,671940,23772000000,0,0,15355000,542031000000,3811435,24.81999969482422,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051116,0,34750,35550,34100,34850,-450,569253,19959000000,0,0,15355000,535121000000,3808703,24.799999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051117,0,35000,37450,35000,36200,1350,1011479,36906000000,0,0,15355000,555851000000,3818703,24.8700008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051118,0,37200,38000,35900,35900,-300,544976,20143000000,0,0,15355000,551244000000,3819669,24.8700008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051121,0,35900,36950,35150,35400,-500,547490,19738000000,0,0,15355000,543567000000,3832758,24.959999084472656,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051122,0,35700,36700,34900,35500,100,458811,16422000000,0,0,15355000,545102000000,3834662,24.969999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051123,0,35500,36550,35100,36500,1000,689696,24740000000,0,0,15355000,560457000000,3834180,24.969999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051124,0,37000,38250,36450,36500,0,842439,31542000000,0,0,15355000,560457000000,3837380,24.989999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20051125,0,36600,36950,34950,35400,-1100,537617,19279000000,0,0,15359000,543708000000,3838479,24.989999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051128,0,35750,36100,34350,34350,-1050,582912,20452000000,0,0,15359000,527581000000,3843279,25.020000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051129,0,33300,34150,32950,33500,-850,524236,17536000000,0,0,15359000,514526000000,3843531,25.020000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051130,0,32550,34400,32550,34350,850,425158,14354000000,0,0,15359000,527581000000,3844123,25.030000686645508,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051201,0,34050,35050,34050,34500,150,414347,14366000000,0,0,15359000,529885000000,3848174,25.049999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051202,0,35200,35300,34000,34000,-500,404588,13950000000,0,0,15359000,522206000000,3851130,25.06999969482422,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051205,0,33600,34100,33300,33450,-550,344808,11556000000,0,0,15359000,513758000000,3846814,25.049999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051206,0,34500,36450,34500,36150,2700,1083865,38752000000,0,0,15359000,555227000000,3847753,25.049999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051207,0,36150,36300,34100,34100,-2050,545566,19046000000,0,0,15359000,523741000000,3840330,25.0,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051208,0,33700,34450,33250,34150,50,392312,13293000000,0,0,15359000,524509000000,3840596,25.010000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051209,0,33950,35550,33950,34800,650,433998,15191000000,0,0,15359000,534493000000,3840444,25.0,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051212,0,35000,37150,35000,35500,700,892168,32319000000,0,0,15359000,545244000000,3786895,24.649999618530273,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051213,0,37200,40800,36450,40450,4950,2320258,89922000000,0,0,15359000,621271000000,3805987,24.780000686645508,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051214,0,41200,41400,38850,40000,-450,1311978,52575000000,0,0,15359000,614360000000,3738905,24.34000015258789,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051215,0,39700,41500,39250,41500,1500,872071,35144000000,0,0,15359000,637398000000,3649298,23.760000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051216,0,40300,41350,39650,40300,-1200,781892,31684000000,0,0,15359000,618967000000,3589156,23.3700008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051219,0,40000,43200,40000,42300,2000,1139566,48088000000,0,0,15359000,649685000000,3496714,22.770000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051220,0,41500,41900,39850,40000,-2300,775638,31604000000,0,0,15359000,614360000000,3461009,22.530000686645508,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051221,0,39600,40250,38900,39250,-750,638914,25192000000,0,0,15359000,602840000000,3446011,22.440000534057617,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051222,0,39350,39900,37100,37100,-2150,634461,24246000000,0,0,15359000,569818000000,3451805,22.469999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20051223,0,37250,38850,36400,38400,1300,686983,26132000000,0,0,15359000,589785000000,3418035,22.25,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051226,0,38600,39650,38100,38400,0,644400,25096000000,0,0,15359000,589785000000,3284810,21.389999389648438,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20051227,0,38100,42450,37400,41300,2900,1684027,67549000000,0,0,15386000,635441000000,3081430,20.030000686645508,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051228,0,40900,42450,40650,41450,150,977880,40692000000,0,0,15386000,637749000000,2973142,19.31999969482422,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20051229,0,41900,44100,41800,42900,1450,1272755,54992000000,0,0,15386000,660059000000,2827667,18.3799991607666,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060102,0,43150,44700,42250,44000,1100,1109934,48451000000,0,0,15386000,676984000000,2850053,18.520000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060103,0,44800,44800,42700,44400,400,823819,35848000000,0,0,15386000,683138000000,2704182,17.579999923706055,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060104,0,44600,46400,43000,43000,-1400,1522661,67821000000,0,0,15386000,661598000000,2602764,16.920000076293945,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060105,0,43100,43800,40900,41700,-1300,890704,37524000000,0,0,15386000,641596000000,2598291,16.889999389648438,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060106,0,42000,42950,41350,42950,1250,625195,26523000000,0,0,15386000,660828000000,2647065,17.200000762939453,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060109,0,44050,49350,44050,49350,6400,2157811,101989000000,0,0,15386000,759299000000,2616446,17.0,88.91000366210938,0,0,0.0,0,0.0,0.0,49
