Date,Close,Open,High,Low,Volume,Change
2000-03-09,884.59,922.71,928.55,884.59,370030000.0,-0.0342
2000-03-10,891.36,902.31,913.6,886.26,330620000.0,0.0077
2000-03-13,854.66,890.87,890.87,849.52,364400000.0,-0.0412
2000-03-14,846.74,843.14,858.68,838.31,330750000.0,-0.009300000000000001
2000-03-15,837.53,837.35,841.73,820.3,312900000.0,-0.0109
2000-03-16,841.22,847.9,860.4,832.17,298880000.0,0.0044
2000-03-17,855.57,864.36,869.82,850.04,300840000.0,0.0171
2000-03-20,850.51,862.68,867.54,843.46,227940000.0,-0.0059
2000-03-21,863.41,850.91,863.41,838.98,227940000.0,0.0152
2000-03-22,882.43,869.88,886.53,865.97,296030000.0,0.022000000000000002
2000-03-23,867.62,888.89,892.78,862.84,254910000.0,-0.0168
2000-03-24,889.24,876.93,900.06,861.64,281930000.0,0.024900000000000002
2000-03-27,886.71,893.13,893.13,876.52,282360000.0,-0.0028000000000000004
2000-03-28,891.29,886.51,902.76,882.22,262750000.0,0.0052
2000-03-29,908.51,886.69,913.35,881.52,280750000.0,0.019299999999999998
2000-03-30,889.95,905.59,909.51,889.23,264079999.99999997,-0.0204
2000-03-31,860.94,872.02,885.74,860.52,214730000.0,-0.0326
2000-04-03,846.44,866.75,876.81,837.36,209590000.0,-0.0168
2000-04-04,830.16,835.24,850.1,814.54,203030000.0,-0.0192
2000-04-06,804.35,827.23,827.89,804.15,172970000.0,-0.0311
2000-04-07,837.38,811.38,838.82,811.38,205120000.0,0.041100000000000005
2000-04-10,870.17,861.72,880.41,851.3,325320000.0,0.0392
2000-04-11,855.05,864.65,864.65,839.82,255140000.0,-0.0174
2000-04-12,837.01,841.16,853.61,834.75,213510000.0,-0.021099999999999997
2000-04-14,800.89,808.46,816.07,793.74,229820000.0,-0.0432
2000-04-17,707.72,762.96,762.96,699.22,287740000.0,-0.11630000000000001
2000-04-18,747.3,738.1,769.38,724.05,273030000.0,0.0559
2000-04-19,755.08,767.27,781.55,745.77,292380000.0,0.0104
2000-04-20,761.25,752.04,765.01,749.61,204060000.0,0.008199999999999999
2000-04-21,767.16,764.81,772.86,759.34,202140000.0,0.0078000000000000005
2000-04-24,747.58,767.05,770.72,746.16,176660000.0,-0.0255
2000-04-25,737.2,738.56,742.15,730.43,168480000.0,-0.0139
2000-04-26,713.23,751.89,760.21,712.42,241940000.0,-0.0325
2000-04-27,692.07,699.29,710.7,688.36,224440000.0,-0.0297
2000-04-28,725.39,698.06,727.26,698.06,228150000.0,0.0481
2000-05-02,752.59,731.76,753.46,729.84,195970000.0,0.0375
2000-05-03,752.76,751.07,755.62,742.94,179780000.0,0.0002
2000-05-04,751.29,753.18,760.99,745.39,190230000.0,-0.002
2000-05-08,770.24,759.15,778.46,759.15,195510000.0,0.0252
2000-05-09,760.85,768.01,771.51,758.89,181010000.0,-0.012199999999999999
2000-05-10,759.51,757.36,764.64,753.73,193570000.0,-0.0018
2000-05-12,740.3,762.8,763.01,737.07,189060000.0,-0.0253
2000-05-15,728.67,737.21,740.16,719.6,193280000.0,-0.015700000000000002
2000-05-16,746.77,729.1,746.77,723.71,172350000.0,0.0248
2000-05-17,727.18,752.52,769.01,726.89,219010000.0,-0.0262
2000-05-18,712.95,705.62,718.72,699.0,201440000.0,-0.0196
2000-05-19,730.68,712.13,730.71,695.73,196290000.0,0.024900000000000002
2000-05-22,691.61,715.55,718.3,688.58,176620000.0,-0.0535
2000-05-23,679.76,674.03,694.44,674.03,211390000.0,-0.0171
2000-05-24,674.95,669.21,689.55,643.97,289350000.0,-0.0070999999999999995
2000-05-25,699.53,696.69,708.59,685.18,401990000.0,0.0364
2000-05-26,656.66,690.54,693.1,656.66,350450000.0,-0.0613
2000-05-29,655.93,627.4,664.27,625.14,309610000.0,-0.0011
2000-05-30,691.26,668.65,692.31,668.65,389660000.0,0.053899999999999997
2000-05-31,731.88,708.04,744.6,708.04,503780000.0,0.0588
2000-06-01,738.49,730.55,746.7,722.24,314340000.0,0.009000000000000001
2000-06-02,760.69,759.22,776.49,750.38,430570000.0,0.0301
2000-06-05,794.21,778.48,799.34,778.48,464380000.0,0.0441
2000-06-07,822.54,798.23,822.98,792.71,493500000.0,0.035699999999999996
2000-06-08,800.11,825.56,842.13,795.99,669050000.0,-0.0273
2000-06-09,836.4,800.28,836.82,790.43,506780000.0,0.0454
2000-06-12,845.81,851.06,858.34,828.66,516740000.0,0.0113
2000-06-13,804.45,833.18,835.29,800.32,426600000.0,-0.0489
2000-06-14,819.27,814.05,821.13,792.3,438190000.0,0.0184
2000-06-15,770.95,814.62,814.62,770.7,380640000.0,-0.059000000000000004
2000-06-16,759.04,759.58,775.26,753.96,317140000.0,-0.0154
2000-06-19,755.38,748.47,777.13,744.9,270290000.0,-0.0048
2000-06-20,785.32,772.98,785.32,764.98,340770000.0,0.039599999999999996
2000-06-21,781.87,793.67,799.44,780.68,529240000.0,-0.0044
2000-06-22,782.24,795.08,804.2,771.06,369640000.0,0.0005
2000-06-23,778.94,772.18,778.94,768.29,261850000.00000003,-0.0042
2000-06-26,791.55,782.28,794.89,779.39,286730000.0,0.016200000000000003
2000-06-27,809.87,799.58,810.7,795.55,465830000.0,0.0231
2000-06-28,818.73,810.44,822.04,806.87,500100000.0,0.0109
2000-06-29,818.9,828.59,830.8,807.93,338970000.0,0.0002
2000-06-30,821.22,815.03,823.36,812.26,462870000.0,0.0028000000000000004
2000-07-03,835.21,824.83,836.53,824.83,440790000.0,0.017
2000-07-04,818.53,840.2,841.52,818.47,439140000.0,-0.02
2000-07-05,830.4,818.4,830.4,810.1,531940000.00000006,0.014499999999999999
2000-07-06,837.63,822.76,840.91,818.24,696040000.0,0.0087
2000-07-07,841.74,841.5,851.62,837.84,569850000.0,0.0049
2000-07-10,851.47,847.6,856.83,847.14,532549999.99999994,0.0116
2000-07-11,836.86,856.17,863.53,836.86,849970000.0,-0.0172
2000-07-12,839.76,841.15,846.8,830.06,466960000.0,0.0034999999999999996
2000-07-13,845.75,840.45,849.03,833.05,477910000.0,0.0070999999999999995
2000-07-14,827.95,847.6,850.26,826.82,366310000.0,-0.021
2000-07-18,812.33,822.3,829.19,806.88,317070000.0,-0.0189
2000-07-19,797.3,806.75,806.75,787.58,442800000.0,-0.018500000000000003
2000-07-20,778.9,786.22,791.41,774.47,426310000.0,-0.0231
2000-07-21,783.06,785.98,789.85,771.5,408140000.0,0.0053
2000-07-24,737.89,766.44,769.81,736.38,393320000.0,-0.057699999999999994
2000-07-25,737.64,730.49,743.52,720.72,352570000.0,-0.0003
2000-07-26,743.84,742.45,748.61,723.32,333090000.0,0.0084
2000-07-27,727.68,730.76,734.51,718.66,255860000.0,-0.0217
2000-07-28,692.65,706.56,712.57,691.01,239030000.0,-0.0481
2000-07-31,705.97,686.35,706.73,678.35,218980000.0,0.0192
2000-08-01,727.1,710.05,727.53,700.83,297940000.0,0.029900000000000003
2000-08-02,728.33,723.32,733.99,715.18,328690000.0,0.0017000000000000001
2000-08-03,722.08,734.49,736.23,719.27,259430000.0,-0.0086
2000-08-04,710.0,717.14,719.07,702.47,221050000.0,-0.0167
2000-08-07,675.59,693.5,694.48,675.59,218360000.0,-0.048499999999999995
2000-08-08,666.08,676.22,686.96,665.63,209180000.0,-0.0141
2000-08-09,710.23,677.22,710.23,677.22,295430000.0,0.0663
2000-08-10,729.28,710.31,729.28,695.87,259930000.0,0.0268
2000-08-11,722.21,711.42,732.78,708.25,300610000.0,-0.0097
2000-08-14,733.25,741.55,745.79,731.44,323610000.0,0.015300000000000001
2000-08-16,751.14,748.73,754.46,745.68,314530000.0,0.024399999999999998
2000-08-17,743.49,751.39,754.09,739.67,317260000.0,-0.0102
2000-08-18,728.32,747.65,750.42,726.9,277080000.0,-0.0204
2000-08-21,722.58,721.02,731.45,720.24,227410000.0,-0.0079
2000-08-22,738.61,722.94,739.02,722.94,302510000.0,0.0222
2000-08-23,719.79,739.04,740.7,719.37,298530000.0,-0.0255
2000-08-24,718.86,722.62,729.0,706.21,293440000.0,-0.0013
2000-08-25,729.8,718.88,729.9,710.58,275530000.0,0.0152
2000-08-28,731.81,728.88,735.32,726.36,271850000.0,0.0028000000000000004
2000-08-29,731.56,733.72,739.53,722.85,253340000.0,-0.0003
2000-08-30,718.93,726.63,727.39,718.93,217560000.0,-0.0173
2000-08-31,688.62,713.41,713.41,682.68,263370000.0,-0.042199999999999994
2000-09-01,692.19,690.93,698.28,685.32,202370000.0,0.0052
2000-09-04,681.3,690.95,693.66,677.55,224050000.0,-0.015700000000000002
2000-09-05,679.24,677.74,685.05,668.08,216310000.0,-0.003
2000-09-06,676.69,677.55,690.99,673.91,211880000.0,-0.0038
2000-09-07,656.37,663.09,664.1,654.36,251210000.0,-0.03
2000-09-08,653.68,658.46,664.07,647.99,302700000.0,-0.0040999999999999995
2000-09-14,650.14,636.7,650.14,621.26,319760000.0,-0.0054
2000-09-15,628.2,642.1,652.5,621.4,338680000.0,-0.0337
2000-09-18,577.56,591.98,595.1,552.78,314540000.0,-0.0806
2000-09-19,571.17,564.93,587.21,556.74,327630000.0,-0.0111
2000-09-20,606.08,594.32,607.78,594.24,340230000.0,0.0611
2000-09-21,595.99,603.51,613.01,577.78,350390000.0,-0.0166
2000-09-22,553.25,574.26,578.22,551.0,305090000.0,-0.0717
2000-09-25,584.63,562.79,584.84,562.48,328330000.0,0.0567
2000-09-26,587.6,576.95,593.72,574.32,403770000.0,0.0051
2000-09-27,599.31,586.57,601.02,585.17,367120000.0,0.0199
2000-09-28,605.85,606.6,610.53,595.97,330230000.0,0.0109
2000-09-29,613.22,612.11,620.08,599.88,328160000.0,0.012199999999999999
2000-10-02,589.22,595.68,599.03,585.53,243070000.0,-0.0391
2000-10-04,598.42,578.37,598.42,571.58,311590000.0,0.015600000000000001
2000-10-05,606.79,605.81,616.22,604.25,456970000.0,0.013999999999999999
2000-10-06,608.85,601.57,610.52,601.05,369620000.0,0.0034000000000000002
2000-10-09,589.18,606.81,606.9,589.18,343130000.0,-0.0323
2000-10-10,588.34,588.72,595.79,578.2,283530000.0,-0.0014000000000000002
2000-10-11,557.18,576.44,576.44,548.29,311530000.0,-0.053
2000-10-12,534.71,548.44,564.09,534.71,259670000.00000003,-0.0403
2000-10-13,524.6,514.82,525.71,498.56,330310000.0,-0.0189
2000-10-16,550.1,557.11,565.88,543.2,341170000.0,0.048600000000000004
2000-10-17,512.85,536.2,545.08,512.85,313670000.0,-0.0677
2000-10-18,514.17,501.09,519.54,485.0,398600000.0,0.0026
2000-10-19,515.04,510.19,531.2,506.49,312610000.0,0.0017000000000000001
2000-10-20,545.97,540.68,554.65,540.49,371650000.0,0.0601
2000-10-23,528.37,555.11,556.0,527.18,271140000.0,-0.0322
2000-10-24,545.05,527.36,549.79,523.02,311600000.0,0.0316
2000-10-25,542.33,539.93,545.86,532.99,308130000.0,-0.005
2000-10-26,523.67,528.27,530.81,517.82,212840000.0,-0.0344
2000-10-27,515.34,528.59,534.84,515.34,284260000.0,-0.0159
2000-10-30,504.73,514.82,520.01,504.73,285730000.0,-0.0206
2000-10-31,514.48,497.59,514.48,483.58,350640000.0,0.019299999999999998
2000-11-01,548.76,524.69,550.06,522.78,366440000.0,0.0666
2000-11-02,558.1,543.94,563.98,540.93,461060000.0,0.017
2000-11-03,560.41,563.5,567.07,556.38,406520000.0,0.0040999999999999995
2000-11-06,556.66,557.64,581.47,555.41,423810000.0,-0.0067
2000-11-07,553.35,560.55,564.38,550.39,346590000.0,-0.0059
2000-11-08,558.09,549.21,562.89,545.77,354230000.0,0.0086
2000-11-09,560.66,549.44,562.66,548.14,323910000.0,0.0046
2000-11-10,565.18,557.94,567.34,555.11,322180000.0,0.008100000000000001
2000-11-13,538.94,552.44,552.44,536.45,272840000.0,-0.0464
2000-11-14,552.99,543.53,552.99,543.53,253050000.0,0.026099999999999998
2000-11-15,557.48,566.41,570.36,552.89,325310000.0,0.008100000000000001
2000-11-16,555.04,557.85,561.17,550.46,310690000.0,-0.0044
2000-11-17,551.26,548.43,551.26,543.6,331720000.0,-0.0068000000000000005
2000-11-20,537.4,543.78,547.56,537.24,289750000.0,-0.025099999999999997
2000-11-21,531.45,529.51,531.45,515.41,293150000.0,-0.0111
2000-11-22,522.33,525.5,532.95,520.61,314620000.0,-0.0172
2000-11-23,514.31,515.48,522.54,512.41,312320000.0,-0.0154
2000-11-24,530.84,518.15,530.84,515.32,315550000.0,0.0321
2000-11-27,554.04,542.27,554.04,542.27,392920000.0,0.0437
2000-11-28,536.94,544.44,547.31,535.96,341210000.0,-0.030899999999999997
2000-11-29,516.44,522.98,522.98,511.93,281000000.0,-0.0382
2000-11-30,509.23,518.82,518.82,499.52,310420000.0,-0.013999999999999999
2000-12-01,514.46,490.88,514.46,489.53,329920000.0,0.0103
2000-12-04,501.73,520.14,520.52,499.72,267610000.0,-0.024700000000000003
2000-12-05,516.96,505.1,516.97,502.94,257240000.0,0.0304
2000-12-06,517.89,535.19,540.63,517.87,391920000.0,0.0018
2000-12-07,523.78,517.48,523.78,510.86,300980000.0,0.011399999999999999
2000-12-08,534.81,523.4,535.47,523.4,321360000.0,0.021099999999999997
2000-12-11,554.8,543.46,557.79,543.46,388720000.0,0.0374
2000-12-12,543.08,556.22,558.5,541.99,320890000.0,-0.021099999999999997
2000-12-13,557.84,540.35,560.16,539.51,302750000.0,0.027200000000000002
2000-12-14,547.38,548.14,554.89,540.73,298430000.0,-0.018799999999999997
2000-12-15,534.0,544.53,551.29,533.65,297850000.0,-0.024399999999999998
2000-12-18,539.27,529.37,541.78,529.37,251260000.0,0.009899999999999999
2000-12-19,530.8,541.23,541.25,530.18,290170000.0,-0.015700000000000002
2000-12-20,514.21,517.37,525.79,513.24,304300000.0,-0.0313
2000-12-21,511.9,498.6,515.76,497.31,290300000.0,-0.0045000000000000005
2000-12-22,500.6,514.54,518.9,500.41,332700000.0,-0.022099999999999998
2000-12-26,504.62,509.09,509.95,501.64,252890000.0,0.008
2001-01-02,520.95,503.31,521.34,500.97,231020000.0,0.032400000000000005
2001-01-03,521.43,512.74,524.58,510.7,324580000.0,0.0009
2001-01-04,558.02,551.53,567.16,550.91,444540000.0,0.0702
2001-01-05,580.85,559.54,581.41,555.4,578290000.0,0.0409
2001-01-08,586.65,573.72,587.91,572.48,558640000.0,0.01
2001-01-09,589.92,583.85,589.92,572.55,558970000.0,0.005600000000000001
2001-01-10,560.81,586.63,593.86,560.81,642380000.0,-0.0493
2001-01-11,561.79,568.26,570.57,557.86,518789999.99999994,0.0017000000000000001
2001-01-12,587.87,578.95,601.09,578.95,713790000.0,0.0464
2001-01-15,599.0,595.06,608.22,588.87,611960000.0,0.0189
2001-01-16,603.42,600.68,608.51,588.42,606280000.0,0.0074
2001-01-17,595.83,600.75,610.47,587.26,501660000.0,-0.0126
2001-01-18,604.05,597.15,612.9,596.66,453760000.0,0.0138
2001-01-19,619.78,622.25,622.25,613.66,432450000.0,0.026000000000000002
2001-01-22,627.45,622.52,627.45,614.08,484950000.0,0.0124
2001-01-26,591.73,623.68,624.0,591.73,443740000.0,-0.056900000000000006
2001-01-29,596.54,592.75,598.11,587.42,461160000.0,0.008100000000000001
2001-01-30,591.34,601.29,608.05,591.34,498670000.0,-0.0087
2001-01-31,617.91,594.76,617.91,593.54,442130000.0,0.0449
2001-02-01,612.3,606.49,620.78,605.42,396010000.0,-0.0091
2001-02-02,608.48,614.51,616.67,602.13,345290000.0,-0.0062
2001-02-05,579.16,594.91,595.47,575.58,354070000.0,-0.0482
2001-02-06,586.58,577.25,587.23,573.52,326300000.0,0.0128
2001-02-07,576.19,584.93,584.93,574.44,322720000.0,-0.0177
2001-02-08,591.57,577.12,591.66,577.12,282240000.0,0.026699999999999998
2001-02-09,595.47,588.36,598.97,581.49,374560000.0,0.0066
2001-02-12,599.2,587.62,602.9,584.37,318920000.0,0.0063
2001-02-13,598.78,603.15,605.35,594.41,336730000.0,-0.0007000000000000001
2001-02-14,603.83,594.93,607.59,592.32,413240000.0,0.0084
2001-02-15,603.63,611.26,612.26,602.41,359760000.0,-0.0003
2001-02-16,604.92,605.93,611.54,604.27,319530000.0,0.0021
2001-02-19,596.67,595.66,597.76,588.73,316680000.0,-0.013600000000000001
2001-02-20,608.74,595.77,609.36,593.17,498570000.0,0.0202
2001-02-21,594.53,605.49,605.49,594.45,439150000.0,-0.0233
2001-02-22,583.41,589.3,589.3,571.72,434980000.0,-0.0187
2001-02-23,583.52,579.97,590.49,579.45,400760000.0,0.0002
2001-02-26,585.32,585.16,588.92,580.59,448990000.0,0.0031
2001-02-27,577.57,590.14,597.12,576.66,475760000.0,-0.0132
2001-02-28,578.1,571.64,581.44,571.04,351260000.0,0.0009
2001-03-02,559.44,574.61,574.61,557.2,329690000.0,-0.0323
2001-03-05,565.38,549.27,565.38,549.27,309880000.0,0.0106
2001-03-06,568.15,569.14,574.9,564.12,485020000.0,0.0049
2001-03-07,568.64,574.52,576.94,566.08,364060000.0,0.0009
2001-03-08,579.28,569.79,579.28,568.09,349380000.0,0.0187
2001-03-09,565.76,572.11,573.67,562.53,316000000.0,-0.0233
2001-03-12,545.05,554.36,556.84,545.05,360940000.0,-0.0366
2001-03-13,527.97,527.94,533.25,522.65,358140000.0,-0.0313
2001-03-14,543.28,541.42,545.0,539.12,415190000.0,0.028999999999999998
2001-03-15,541.83,523.38,542.3,522.74,385190000.0,-0.0027
2001-03-16,538.67,541.31,543.81,536.7,332620000.0,-0.0058
2001-03-19,534.33,531.84,541.2,528.88,253800000.0,-0.008100000000000001
2001-03-20,531.59,542.13,542.79,531.39,279530000.0,-0.0051
2001-03-21,532.59,520.71,532.59,520.41,364740000.0,0.0019
2001-03-22,527.05,530.88,532.25,524.25,402500000.0,-0.0104
2001-03-23,537.97,532.01,539.19,531.63,364380000.0,0.0207
2001-03-26,545.98,544.75,550.26,542.09,433280000.0,0.0149
2001-03-27,532.9,546.27,546.27,532.9,433270000.0,-0.024
2001-03-28,528.79,541.43,541.71,528.79,402640000.0,-0.0077
2001-03-29,523.8,522.99,531.85,521.04,484170000.0,-0.009399999999999999
2001-03-30,523.22,524.63,528.6,516.97,417220000.0,-0.0011
2001-04-02,515.2,520.56,522.09,512.4,231820000.0,-0.015300000000000001
2001-04-03,503.26,505.38,507.67,498.27,277550000.0,-0.0232
2001-04-04,493.69,496.03,501.32,493.57,313640000.0,-0.019
2001-04-06,506.22,518.06,518.2,504.54,373590000.0,0.0254
2001-04-09,497.46,503.07,506.46,497.46,283860000.0,-0.0173
2001-04-10,491.21,500.97,501.65,491.21,261940000.0,-0.0126
2001-04-11,507.53,505.24,508.75,501.63,354280000.0,0.0332
2001-04-12,514.21,516.73,519.48,511.73,408940000.0,0.0132
2001-04-13,516.1,518.64,518.65,512.35,346890000.0,0.0037
2001-04-16,508.35,514.55,518.26,508.35,328650000.0,-0.015
2001-04-17,513.97,506.92,516.12,505.92,319540000.0,0.0111
2001-04-18,540.0,523.26,540.0,520.31,494860000.0,0.0506
2001-04-19,563.31,567.49,581.63,558.97,561590000.0,0.0432
2001-04-20,556.29,567.66,572.08,556.22,475640000.0,-0.0125
2001-04-23,560.94,559.09,566.47,556.52,420370000.0,0.0084
2001-04-24,555.64,552.32,556.48,547.39,346700000.0,-0.009399999999999999
2001-04-25,566.34,552.69,566.34,551.15,376550000.0,0.019299999999999998
2001-04-26,561.62,569.58,570.99,560.84,305800000.0,-0.0083
2001-04-27,556.63,561.06,563.76,553.67,231120000.0,-0.0089
2001-04-30,577.36,565.44,577.52,564.72,371500000.0,0.037200000000000004
2001-05-02,583.7,586.27,587.18,580.39,594620000.0,0.011000000000000001
2001-05-03,584.4,583.22,584.68,576.53,390070000.0,0.0012
2001-05-04,585.6,575.69,585.6,575.69,392470000.0,0.0021
2001-05-07,596.5,588.88,599.05,584.79,471720000.0,0.018600000000000002
2001-05-08,590.91,594.32,597.95,590.65,484400000.0,-0.009399999999999999
2001-05-09,578.84,589.06,589.42,578.34,527730000.0,-0.0204
2001-05-10,581.38,579.16,584.33,575.43,557130000.0,0.0044
2001-05-11,583.06,581.74,584.28,577.91,546700000.0,0.0029
2001-05-14,584.08,585.13,588.13,580.82,526960000.00000006,0.0017000000000000001
2001-05-15,581.3,583.73,585.74,579.08,557550000.0,-0.0048
2001-05-16,572.4,578.68,585.67,572.36,529250000.0,-0.015300000000000001
2001-05-17,596.39,588.15,596.39,585.59,565110000.0,0.04190000000000001
2001-05-18,600.54,594.56,600.54,591.63,595400000.0,0.006999999999999999
2001-05-21,618.96,606.87,620.89,606.46,750100000.0,0.030699999999999998
2001-05-22,617.99,628.82,630.08,617.99,794300000.0,-0.0016
2001-05-23,622.6,620.03,625.8,616.56,526289999.99999994,0.0075
2001-05-24,622.28,614.22,624.46,612.62,561540000.0,-0.0005
2001-05-25,624.11,626.97,633.16,623.05,634240000.0,0.0029
2001-05-28,618.47,620.2,622.67,618.14,434840000.0,-0.009000000000000001
2001-05-29,632.05,616.94,632.09,615.87,530440000.00000006,0.022000000000000002
2001-05-30,628.42,629.45,629.9,620.95,449660000.0,-0.005699999999999999
2001-05-31,612.16,612.45,617.66,608.8,384980000.0,-0.0259
2001-06-01,607.07,615.67,617.09,603.84,358790000.0,-0.0083
2001-06-04,610.91,609.06,613.21,606.72,341320000.0,0.0063
2001-06-05,597.66,612.63,615.0,597.66,360310000.0,-0.0217
2001-06-07,601.14,594.28,601.35,594.28,328040000.0,0.0058
2001-06-08,621.78,608.48,621.9,608.33,442480000.0,0.034300000000000004
2001-06-11,608.23,612.46,615.41,607.2,340120000.0,-0.0218
2001-06-12,607.15,605.36,611.88,603.91,319880000.0,-0.0018
2001-06-13,614.05,611.79,614.05,607.48,392420000.0,0.011399999999999999
2001-06-14,613.75,612.96,623.37,610.36,420520000.0,-0.0005
2001-06-15,618.96,609.54,618.96,604.37,375830000.0,0.0085
2001-06-18,608.78,617.66,619.82,607.93,474210000.0,-0.016399999999999998
2001-06-19,608.91,606.04,615.85,605.8,436630000.0,0.0002
2001-06-20,595.72,603.29,604.78,593.75,440480000.0,-0.0217
2001-06-21,595.53,597.72,599.76,589.46,404200000.0,-0.0003
2001-06-22,599.08,597.34,602.7,593.33,395240000.0,0.006
2001-06-25,598.02,597.37,602.77,594.04,309870000.0,-0.0018
2001-06-26,588.71,597.81,598.96,586.12,312740000.0,-0.015600000000000001
2001-06-27,584.76,587.31,590.74,580.75,330390000.0,-0.0067
2001-06-28,583.27,585.66,591.03,582.91,268780000.0,-0.0025
2001-06-29,595.13,594.02,595.13,589.18,225170000.0,0.0203
2001-07-02,596.74,593.03,598.24,592.9,201670000.0,0.0027
2001-07-03,594.31,598.67,598.67,593.56,209110000.0,-0.0040999999999999995
2001-07-04,597.25,591.01,597.25,586.31,226700000.0,0.0049
2001-07-05,593.61,598.95,600.51,592.8,195560000.0,-0.0060999999999999995
2001-07-06,578.54,581.85,585.08,578.13,215960000.0,-0.0254
2001-07-09,560.0,565.34,568.21,555.66,250530000.0,-0.032
2001-07-10,558.6,563.21,565.51,557.51,228980000.0,-0.0025
2001-07-11,553.65,547.15,558.53,545.76,208230000.0,-0.0089
2001-07-12,559.95,561.5,566.26,559.95,302700000.0,0.011399999999999999
2001-07-13,548.49,571.16,571.16,546.97,259000000.0,-0.020499999999999997
2001-07-16,548.93,551.43,554.93,545.17,228140000.0,0.0008
2001-07-18,540.53,550.94,551.97,539.04,275320000.0,-0.015300000000000001
2001-07-19,545.74,534.13,545.74,534.13,263160000.00000003,0.0096
2001-07-20,537.71,540.26,541.95,534.39,275160000.0,-0.0147
2001-07-23,524.21,535.0,538.35,522.38,265250000.0,-0.025099999999999997
2001-07-24,526.62,518.94,527.37,512.78,485590000.0,0.0046
2001-07-25,526.08,519.74,528.33,516.64,371430000.0,-0.001
2001-07-26,529.22,529.65,531.96,527.22,313190000.0,0.006
2001-07-27,541.13,536.86,542.58,534.94,395950000.0,0.0225
2001-07-30,533.53,542.08,542.08,532.85,274100000.0,-0.013999999999999999
2001-07-31,541.55,534.84,541.55,532.55,202400000.0,0.015
2001-08-01,562.79,546.3,563.67,542.0,441170000.0,0.0392
2001-08-02,567.46,565.39,572.03,557.29,445700000.0,0.0083
2001-08-03,568.69,572.0,572.0,563.55,267800000.0,0.0022
2001-08-06,569.37,564.72,573.56,563.53,375430000.0,0.0012
2001-08-07,567.5,562.17,568.57,561.29,366590000.0,-0.0033
2001-08-08,565.94,568.07,568.85,561.35,362130000.0,-0.0027
