2020-11-08 00:30:58 : 진행 시간 - 00:00 | 테스트 데이터 분리  
2020-11-08 00:31:03 : 진행 시간 - 00:04 | 테스트 시작  
2020-11-08 00:31:03 : 진행 시간 - 00:04 | 테스트 시작  
2020-11-08 00:31:46 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:31:46 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:31:46 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:32:30 : 진행 시간 - 00:17 | 학습 시작  
2020-11-08 00:35:00 : 진행 시간 - 02:47 | 36.9978  
2020-11-08 00:35:00 : 진행 시간 - 02:47 | 36.9978  
2020-11-08 00:35:00 : 진행 시간 - 02:47 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:35:00 : 진행 시간 - 02:47 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:35:00 : 진행 시간 - 02:47 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 학습 끝  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 학습 끝  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 학습 끝  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 학습 끝  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 시작  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 시작  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 시작  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 시작  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 시작  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:01 : 진행 시간 - 02:48 | 테스트 데이터 분리  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:35:18 : 진행 시간 - 03:05 | 테스트 시작  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 0.0 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:36:03 : 진행 시간 - 03:50 | 테스트 끝  
2020-11-08 00:38:27 : 진행 시간 - 00:20 | 학습 시작  
2020-11-08 00:40:57 : 진행 시간 - 02:49 | 42.8547  
2020-11-08 00:40:57 : 진행 시간 - 02:49 | 42.8547  
2020-11-08 00:40:57 : 진행 시간 - 02:49 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:40:57 : 진행 시간 - 02:49 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:40:57 : 진행 시간 - 02:49 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 학습 끝  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 학습 끝  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 학습 끝  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 학습 끝  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 시작  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 시작  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 시작  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 시작  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 시작  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:40:58 : 진행 시간 - 02:50 | 테스트 데이터 분리  
2020-11-08 00:41:13 : 진행 시간 - 03:06 | 테스트 시작  
