data_code,thema_name,stock_code,stock_name,stock_current_print
341,환율 달러/유로 상승(유로강세),A011790,SKC,83000
341,환율 달러/유로 상승(유로강세),A066570,LG전자,91700
341,환율 달러/유로 상승(유로강세),A097230,한진중공업,8380
341,환율 달러/유로 상승(유로강세),A111770,영원무역,27700
341,환율 달러/유로 상승(유로강세),A161000,애경유화,6940
341,환율 달러/유로 상승(유로강세),A161390,한국타이어앤테크놀로지,31500
340,금리 하락 수혜주,A005940,NH투자증권,9140
340,금리 하락 수혜주,A006800,미래에셋대우,8480
340,금리 하락 수혜주,A016360,삼성증권,30600
340,금리 하락 수혜주,A039490,키움증권,99500
340,금리 하락 수혜주,A071050,한국금융지주,72500
339,금리 상승 수혜주,A000060,메리츠화재,12850
339,금리 상승 수혜주,A000810,삼성화재,182000
339,금리 상승 수혜주,A001450,현대해상,22350
339,금리 상승 수혜주,A005830,DB손해보험,45200
339,금리 상승 수혜주,A024110,기업은행,8010
339,금리 상승 수혜주,A032830,삼성생명,61000
339,금리 상승 수혜주,A055550,신한지주,27600
339,금리 상승 수혜주,A082640,동양생명,3065
339,금리 상승 수혜주,A086790,하나금융지주,28100
339,금리 상승 수혜주,A088350,한화생명,1525
339,금리 상승 수혜주,A105560,KB금융,37550
338,환율 엔/달러 하락(엔강세) 수혜,A000270,기아차,46900
338,환율 엔/달러 하락(엔강세) 수혜,A001120,LG상사,15450
338,환율 엔/달러 하락(엔강세) 수혜,A005380,현대차,178500
338,환율 엔/달러 하락(엔강세) 수혜,A005490,POSCO,196000
338,환율 엔/달러 하락(엔강세) 수혜,A005930,삼성전자,58200
338,환율 엔/달러 하락(엔강세) 수혜,A006400,삼성SDI,433500
338,환율 엔/달러 하락(엔강세) 수혜,A009150,삼성전기,139000
338,환율 엔/달러 하락(엔강세) 수혜,A010950,S-Oil,51600
338,환율 엔/달러 하락(엔강세) 수혜,A011760,현대상사,14400
338,환율 엔/달러 하락(엔강세) 수혜,A012330,현대모비스,230000
338,환율 엔/달러 하락(엔강세) 수혜,A034220,LG디스플레이,15350
338,환율 엔/달러 하락(엔강세) 수혜,A034230,파라다이스,13750
338,환율 엔/달러 하락(엔강세) 수혜,A036490,SK머티리얼즈,227500
338,환율 엔/달러 하락(엔강세) 수혜,A042670,두산인프라코어,8770
338,환율 엔/달러 하락(엔강세) 수혜,A047050,포스코인터내셔널,13400
338,환율 엔/달러 하락(엔강세) 수혜,A114090,GKL,12400
337,환율 원/달러 하락(원강세) 수혜,A001230,동국제강,6340
337,환율 원/달러 하락(원강세) 수혜,A001680,대상,26000
337,환율 원/달러 하락(원강세) 수혜,A001800,오리온홀딩스,12150
337,환율 원/달러 하락(원강세) 수혜,A002270,롯데푸드,299500
337,환율 원/달러 하락(원강세) 수혜,A003490,대한항공,18850
337,환율 원/달러 하락(원강세) 수혜,A004020,현대제철,24600
337,환율 원/달러 하락(원강세) 수혜,A004370,농심,314000
337,환율 원/달러 하락(원강세) 수혜,A004990,롯데지주,28600
337,환율 원/달러 하락(원강세) 수혜,A005180,빙그레,59000
337,환율 원/달러 하락(원강세) 수혜,A005300,롯데칠성,90000
337,환율 원/달러 하락(원강세) 수혜,A005490,POSCO,196000
337,환율 원/달러 하락(원강세) 수혜,A005990,매일홀딩스,7950
337,환율 원/달러 하락(원강세) 수혜,A007310,오뚜기,568000
337,환율 원/달러 하락(원강세) 수혜,A008770,호텔신라,76100
337,환율 원/달러 하락(원강세) 수혜,A010950,S-Oil,51600
337,환율 원/달러 하락(원강세) 수혜,A020560,아시아나항공,3920
337,환율 원/달러 하락(원강세) 수혜,A024110,기업은행,8010
337,환율 원/달러 하락(원강세) 수혜,A039130,하나투어,39200
337,환율 원/달러 하락(원강세) 수혜,A055550,신한지주,27600
337,환율 원/달러 하락(원강세) 수혜,A078930,GS,31000
337,환율 원/달러 하락(원강세) 수혜,A080160,모두투어,12450
337,환율 원/달러 하락(원강세) 수혜,A086790,하나금융지주,28100
337,환율 원/달러 하락(원강세) 수혜,A096770,SK이노베이션,139000
337,환율 원/달러 하락(원강세) 수혜,A097950,CJ제일제당,395000
337,환율 원/달러 하락(원강세) 수혜,A105560,KB금융,37550
337,환율 원/달러 하락(원강세) 수혜,A145990,삼양사,54400
336,환율 원/달러 상승(원약세) 수혜,A000100,유한양행,64200
336,환율 원/달러 상승(원약세) 수혜,A000270,기아차,46900
336,환율 원/달러 상승(원약세) 수혜,A000640,동아쏘시오홀딩스,125000
336,환율 원/달러 상승(원약세) 수혜,A000660,SK하이닉스,84000
336,환율 원/달러 상승(원약세) 수혜,A001430,세아베스틸,9760
336,환율 원/달러 상승(원약세) 수혜,A002350,넥센타이어,5350
336,환율 원/달러 상승(원약세) 수혜,A004970,신라교역,9550
336,환율 원/달러 상승(원약세) 수혜,A005380,현대차,178500
336,환율 원/달러 상승(원약세) 수혜,A005930,삼성전자,58200
336,환율 원/달러 상승(원약세) 수혜,A006040,동원산업,209000
336,환율 원/달러 상승(원약세) 수혜,A006380,카프로,2495
336,환율 원/달러 상승(원약세) 수혜,A006400,삼성SDI,433500
336,환율 원/달러 상승(원약세) 수혜,A007690,국도화학,44300
336,환율 원/달러 상승(원약세) 수혜,A009150,삼성전기,139000
336,환율 원/달러 상승(원약세) 수혜,A009540,한국조선해양,82700
336,환율 원/달러 상승(원약세) 수혜,A010060,OCI,57000
336,환율 원/달러 상승(원약세) 수혜,A010130,고려아연,376500
336,환율 원/달러 상승(원약세) 수혜,A010140,삼성중공업,5330
336,환율 원/달러 상승(원약세) 수혜,A010620,현대미포조선,29700
336,환율 원/달러 상승(원약세) 수혜,A011070,LG이노텍,155000
336,환율 원/달러 상승(원약세) 수혜,A011170,롯데케미칼,196500
336,환율 원/달러 상승(원약세) 수혜,A028670,팬오션,3420
336,환율 원/달러 상승(원약세) 수혜,A042660,대우조선해양,23800
336,환율 원/달러 상승(원약세) 수혜,A051370,인터플렉스,11600
336,환율 원/달러 상승(원약세) 수혜,A051910,LG화학,654000
336,환율 원/달러 상승(원약세) 수혜,A066570,LG전자,91700
336,환율 원/달러 상승(원약세) 수혜,A086280,현대글로비스,144000
336,환율 원/달러 상승(원약세) 수혜,A103140,풍산,23800
336,환율 원/달러 상승(원약세) 수혜,A105630,한세실업,18000
336,환율 원/달러 상승(원약세) 수혜,A111770,영원무역,27700
336,환율 원/달러 상승(원약세) 수혜,A128940,한미약품,273500
336,환율 원/달러 상승(원약세) 수혜,A161390,한국타이어앤테크놀로지,31500
335,전자책,A014820,동원시스템즈,23400
335,전자책,A020120,키다리스튜디오,9650
335,전자책,A020710,시공테크,4800
335,전자책,A030520,한글과컴퓨터,18900
335,전자책,A035080,인터파크,2035
335,전자책,A036000,예림당,2525
335,전자책,A049550,잉크테크,3155
335,전자책,A053280,예스24,15350
335,전자책,A056000,네스엠,2230
335,전자책,A059100,아이컴포넌트,4600
335,전자책,A060570,드림어스컴퍼니,5140
335,전자책,A095720,웅진씽크빅,2640
335,전자책,A108860,셀바스AI,2750
333,원자재,A,,0
333,원자재,A000910,유니온,7730
333,원자재,A001780,알루코,3895
333,원자재,A003010,혜인,5010
333,원자재,A003580,넥스트사이언스,6580
333,원자재,A004560,현대비앤지스틸,7380
333,원자재,A006260,LS,52500
333,원자재,A008350,남선알미늄,5270
333,원자재,A009190,대양금속,3560
333,원자재,A009520,포스코엠텍,4660
333,원자재,A009730,코센,905
333,원자재,A010130,고려아연,376500
333,원자재,A012800,대창,1085
333,원자재,A018470,조일알미늄,638
333,원자재,A022220,정산애강,1825
333,원자재,A025820,이구산업,1550
333,원자재,A032560,황금에스티,6990
333,원자재,A032980,바이온,1470
333,원자재,A033160,엠케이전자,10250
333,원자재,A037950,엘컴텍,1570
333,원자재,A060150,인선이엔티,9130
333,원자재,A103140,풍산,23800
331,반도체 시스템반도체,A033170,시그네틱스,703
331,반도체 시스템반도체,A038880,아이에이,526
331,반도체 시스템반도체,A052860,아이앤씨,4775
331,반도체 시스템반도체,A054450,텔레칩스,14250
331,반도체 시스템반도체,A062860,티엘아이,7260
331,반도체 시스템반도체,A080220,제주반도체,3530
331,반도체 시스템반도체,A092600,앤씨앤,4335
331,반도체 시스템반도체,A108320,실리콘웍스,44950
329,바이오 디젤,A006120,SK디스커버리,63900
329,바이오 디젤,A006840,AK홀딩스,17550
329,바이오 디젤,A014830,유니드,44650
329,바이오 디젤,A023150,MH에탄올,7550
329,바이오 디젤,A043910,자연과환경,1440
326,"모바일 SW - OS, 임베디드 등",A041020,인프라웨어,1770
326,"모바일 SW - OS, 임베디드 등",A096040,이트론,263
326,"모바일 SW - OS, 임베디드 등",A115450,지트리비앤티,26700
322,모바일 게임,A063080,게임빌,35100
322,모바일 게임,A078340,컴투스,114600
322,모바일 게임,A112040,위메이드,37300
317,수소연료 전지차,A012340,뉴인텍,2800
317,수소연료 전지차,A033290,코웰패션,6150
317,수소연료 전지차,A072470,우리산업홀딩스,5640
317,수소연료 전지차,A095190,이엠코리아,5690
316,무선 충전,A006260,LS,52500
316,무선 충전,A061040,알에프텍,11200
316,무선 충전,A089010,켐트로닉스,16050
313,ESS - 에너지저장시스템,A009470,삼화전기,18400
313,ESS - 에너지저장시스템,A022100,포스코 ICT,6940
313,ESS - 에너지저장시스템,A089980,상아프론테크,42100
313,ESS - 에너지저장시스템,A131390,피앤이솔루션,20950
313,ESS - 에너지저장시스템,A137400,피엔티,24050
314,요트 마리나,A028300,에이치엘비,103700
314,요트 마리나,A065570,삼영이엔씨,7550
314,요트 마리나,A066980,브레인콘텐츠,510
314,요트 마리나,A099220,SDN,3150
309,전자주민증,A010820,퍼스텍,2065
309,전자주민증,A045660,에이텍,33100
309,전자주민증,A052400,코나아이,13050
309,전자주민증,A064520,바른전자,1005
309,전자주민증,A065440,이루온,1400
309,전자주민증,A094840,슈프리마에이치큐,6590
307,SSD,A036540,SFA반도체,5090
307,SSD,A064520,바른전자,1005
307,SSD,A067310,하나마이크론,8700
307,SSD,A073570,WI,1450
307,SSD,A081580,성우전자,2750
302,바이오베터,A006280,녹십자,221500
302,바이오베터,A009420,한올바이오파마,34000
302,바이오베터,A128940,한미약품,273500
301,바이오 진단장비,A038290,마크로젠,30650
301,바이오 진단장비,A039860,나노엔텍,11250
301,바이오 진단장비,A041830,인바디,15900
301,바이오 진단장비,A043150,바텍,21950
301,바이오 진단장비,A046210,파나진,4875
301,바이오 진단장비,A052260,SK바이오랜드,24400
301,바이오 진단장비,A064550,바이오니아,26500
301,바이오 진단장비,A071200,인피니트헬스케어,6570
301,바이오 진단장비,A096530,씨젠,260400
301,바이오 진단장비,A100700,세운메디칼,3605
295,블랙 박스,A023810,인팩,4800
295,블랙 박스,A038950,파인디지털,5880
295,블랙 박스,A084730,팅크웨어,9950
294,플랜트 기자재,A036560,영풍정밀,7750
294,플랜트 기자재,A083650,비에이치아이,2175
294,플랜트 기자재,A100840,S&TC,15100
294,플랜트 기자재,A126880,제이엔케이히터,7980
291,평창 동계올림픽 수혜주,A003230,삼양식품,99500
291,평창 동계올림픽 수혜주,A003410,쌍용양회,5870
291,평창 동계올림픽 수혜주,A010280,쌍용정보통신,1245
291,평창 동계올림픽 수혜주,A011420,갤럭시아에스엠,1405
291,평창 동계올림픽 수혜주,A035250,강원랜드,21500
291,평창 동계올림픽 수혜주,A037440,희림,3690
289,바이오폴리머,A004000,롯데정밀화학,49650
289,바이오폴리머,A011790,SKC,83000
288,근거리무선통신(NFC),A052400,코나아이,13050
288,근거리무선통신(NFC),A079190,EMW,2780
288,근거리무선통신(NFC),A089850,유비벨록스,8900
288,근거리무선통신(NFC),A091700,파트론,10150
286,나노 - 탄소나노튜브(CNT),A000300,대유플러스,811
286,나노 - 탄소나노튜브(CNT),A001210,금호전기,4820
286,나노 - 탄소나노튜브(CNT),A009830,한화솔루션,38450
286,나노 - 탄소나노튜브(CNT),A027580,상보,1325
286,나노 - 탄소나노튜브(CNT),A054940,엑사이엔씨,1430
286,나노 - 탄소나노튜브(CNT),A064760,티씨케이,95100
286,나노 - 탄소나노튜브(CNT),A065130,탑엔지니어링,9600
285,나노 - 필름,A049550,잉크테크,3155
285,나노 - 필름,A056700,신화인터텍,2595
285,나노 - 필름,A078600,대주전자재료,44600
285,나노 - 필름,A091970,나노캠텍,2010
285,나노 - 필름,A095500,미래나노텍,2680
285,나노 - 필름,A101490,에스앤에스텍,38800
282,소셜커머스,A035080,인터파크,2035
282,소셜커머스,A035720,카카오,364500
282,소셜커머스,A046440,KG모빌리언스,9530
282,소셜커머스,A053800,안랩,65900
282,소셜커머스,A095720,웅진씽크빅,2640
280,AI - 조류인플루엔저,A011000,진원생명과학,29650
280,AI - 조류인플루엔저,A043200,파루,2750
280,AI - 조류인플루엔저,A044960,이글벳,8560
280,AI - 조류인플루엔저,A052670,제일바이오,7650
280,AI - 조류인플루엔저,A054670,대한뉴팜,11900
280,AI - 조류인플루엔저,A060590,씨티씨바이오,7850
280,AI - 조류인플루엔저,A072020,중앙백신,17850
279,조선기자재,A013030,하이록코리아,11900
279,조선기자재,A014620,성광벤드,6360
279,조선기자재,A014940,오리엔탈정공,2260
279,조선기자재,A017960,한국카본,9540
279,조선기자재,A023160,태광,6350
279,조선기자재,A033500,동성화인텍,9880
279,조선기자재,A044060,조광ILI,6240
279,조선기자재,A044490,태웅,13600
279,조선기자재,A053660,현진소재,400
279,조선기자재,A054540,삼영엠텍,5440
279,조선기자재,A065570,삼영이엔씨,7550
279,조선기자재,A071970,STX중공업,4040
279,조선기자재,A077970,STX엔진,6010
