,종목 코드,종목명
164,002880,대유에이텍
165,002900,동양물산
166,002920,유성기업
167,002960,한국쉘석유
168,002990,금호산업
169,002995,금호산업우
170,003000,부광약품
171,003010,혜인
172,003030,세아제강지주
173,003060,에이프로젠제약
174,003070,코오롱글로벌
175,003075,코오롱글로벌우
176,003080,성보화학
177,003090,대웅
178,003120,일성신약
179,003160,디아이
180,003200,일신방직
181,003220,대원제약
182,003230,삼양식품
183,003240,태광산업
184,003280,흥아해운
185,003300,한일홀딩스
186,003350,한국화장품제조
187,003410,쌍용양회
188,003415,쌍용양회우
189,003460,유화증권
190,003465,유화증권우
191,003470,유안타증권
192,003475,유안타증권우
193,003480,한진중공업홀딩스
194,003490,대한항공
195,003495,대한항공우
196,003520,영진약품
197,003530,한화투자증권
198,003535,한화투자증권우
199,003540,대신증권
200,003545,대신증권우
201,003547,대신증권2우B
202,003550,LG
203,003555,LG우
204,003560,IHQ
205,003570,S&T중공업
206,003580,넥스트사이언스
207,003610,방림
208,003620,쌍용차
209,003650,미창석유
210,003670,포스코케미칼
211,003680,한성기업
212,003690,코리안리
213,003720,삼영화학
214,003780,진양산업
215,003830,대한화섬
216,003850,보령제약
217,003920,남양유업
218,003925,남양유업우
219,003960,사조대림
220,004000,롯데정밀화학
221,004020,현대제철
222,004060,SG세계물산
223,004080,신흥
224,004090,한국석유
225,004100,태양금속
226,004105,태양금속우
227,004140,동방
228,004150,한솔홀딩스
229,004170,신세계
230,004250,NPC
231,004255,NPC우
232,004270,남성
233,004310,현대약품
234,004360,세방
235,004365,세방우
236,004370,농심
237,004380,삼익THK
238,004410,서울식품
239,004415,서울식품우
240,004430,송원산업
241,004440,대림씨엔에스
242,004450,삼화왕관
243,004490,세방전지
244,004540,깨끗한나라
245,004545,깨끗한나라우
246,004560,현대비앤지스틸
247,004565,현대비앤지스틸우
248,004690,삼천리
249,004700,조광피혁
250,004710,한솔테크닉스
251,004720,우리들제약
252,004770,써니전자
253,004800,효성
254,004830,덕성
255,004835,덕성우
256,004840,DRB동일
257,004870,티웨이홀딩스
258,004890,동일산업
259,004910,조광페인트
260,004920,씨아이테크
261,004960,한신공영
262,004970,신라교역
263,004980,성신양회
264,004985,성신양회우
265,004990,롯데지주
266,00499K,롯데지주우
267,005010,휴스틸
268,005030,부산주공
269,005070,코스모신소재
270,005090,삼광글라스
271,005110,한창
272,005180,빙그레
273,005190,동성화학
274,005250,녹십자홀딩스
275,005257,녹십자홀딩스2우
276,005300,롯데칠성
277,005305,롯데칠성우
